Word,POS Tag,Frequency
beberapa,DET,104
bs,NOUN,104
application,PROPN,103
dana,NOUN,103
dr,NOUN,103
utk,ADP,103
gak,PROPN,102
was,PROPN,102
tepat,ADJ,102
Cukup,ADV,101
jd,NOUN,101
helpful,NOUN,101
ok,NOUN,100
on,PROPN,100
pandemic,NOUN,100
penjelasan,NOUN,99
udah,VERB,99
sering,ADV,98
Memudahkan,VERB,98
anak,NOUN,98
for,ADP,98
nunggu,VERB,97
user,VERB,96
4,NUM,96
have,NOUN,95
muncul,VERB,95
pernah,ADV,95
sakit,NOUN,94
bukan,X,94
need,NOUN,94
App,PROPN,94
experience,NOUN,93
diperbaiki,VERB,93
application,NOUN,93
Obat,NOUN,93
tersedia,VERB,92
really,NOUN,92
sendiri,ADJ,92
useful,PROPN,91
detail,NOUN,91
disuruh,VERB,91
lg,NOUN,91
pake,NOUN,90
terdekat,ADJ,90
from,NOUN,89
mahal,ADJ,89
payment,PROPN,89
darurat,ADJ,88
thanks,PROPN,88
thank,NOUN,88
Simple,PROPN,88
refund,NOUN,88
helpfull,NUM,87
salah,DET,87
gak,X,87
they,PROPN,87
membeli,VERB,86
jadi,ADV,85
Padahal,ADV,85
krn,ADV,85
jg,ADV,85
Its,PROPN,84
tolong,NOUN,84
dulu,NOUN,84
kenapa,ADV,84
It,PROPN,84
as,PROPN,83
mungkin,ADV,82
kami,PRON,82
kota,NOUN,82
praktis,NOUN,82
pas,ADV,82
awal,ADJ,82
melalui,ADP,81
tau,VERB,81
apotik,NUM,81
by,PROPN,81
status,NOUN,81
sibuk,ADJ,81
Untuk,ADP,80
i,PROPN,80
simple,PROPN,80
info,NOUN,80
cs,PROPN,79
saat,CONJ,79
sistem,NOUN,79
Thank,NOUN,78
far,NOUN,78
coba,VERB,78
Oke,PROPN,78
diberikan,VERB,78
Dr,PROPN,77
gopay,NUM,77
Bisa,ADV,77
sekarang,ADV,77
saat,ADP,77
it,NOUN,77
d,NOUN,77
agak,ADV,76
pemesanan,NOUN,76
janji,NOUN,76
sehingga,CONJ,76
pelayanannya,NOUN,75
dg,ADP,75
just,NOUN,75
rs,PROPN,75
dg,NOUN,75
bs,VERB,74
or,PROPN,74
tinggal,VERB,74
selesai,VERB,74
sy,PROPN,74
Chat,PROPN,74
buruk,ADJ,74
n,PROPN,73
out,NOUN,73
great,PROPN,73
even,NOUN,73
jg,NOUN,73
doctors,PROPN,73
have,PROPN,73
gopay,NOUN,72
health,NOUN,72
User,PROPN,72
Excellent,PROPN,72
sdh,VERB,72
Aplikasinya,NOUN,72
kadang,ADV,71
Kalau,CONJ,71
vaksin,NOUN,70
Mudah,PROPN,70
its,PROPN,70
Ini,DET,70
24,NUM,70
lambat,ADJ,70
from,PROPN,70
semoga,ADV,69
refund,NUM,69
